wl,xyln1b,fchi1b,xyln2b,xyln3b,anom1b,anom2b,atki1b,atki2b,fchi2b,gray1b,gray2b,mcla1b,rayn1b,rayn2b,rpan1b,rpmm1b,rpmt1b,aurs2b,aurs1b,clor1b,clor2b,conc1b,conc2b,hirs1b,hirs2b,prsi1b,prsi2b,prsi3b,mclm1b,mclm2b,narm1b,narm2b,smgd1b,smgd2b,pali1b,pali2b,ocul1b,ocul2b,tars1b,vrid1b,vrid2b,opal1b,rose1b,lats1b,lats2b,pvul1b,pvul2b,ecry1b,ecry2b,poro1b,poro2b,ppsi1b,ppsi2b,tars2b,oliv2b,oliv1b
680,18.5336,0.8068,0.9088,0.5468,29.2976,18.1932,11.8044,2.456,6.996,5.4876,5.1904,5.4276,13.51,19.6264,2.1804,4.8048,9.5788,17.9276,18.384,31.3868,9.9784,46.0872,31.1636,26.3968,23.028,0.8272,1.3688,0.9564,5.7184,7.3996,9.8268,14.8752,16.7052,9.9224,8.1484,9.9008,26.7988,26.2412,13.8856,24.9596,4.2496,20.4292,13.31,15.2956,15.1432,24.8164,33.914,23.6004,18.7072,21.6788,5.4732,13.7804,16.5084,11.704,11.776,37.378
682,20,0.8468,0.96,0.6212,29.728,18.4232,12.0312,2.5448,7.208,5.5536,5.2548,5.4596,13.7764,19.8892,2.2652,4.9448,9.8008,17.9288,18.374,31.5384,10.026,46.2084,31.2368,26.5296,23.1176,0.882,1.4472,1.014,5.746,7.4416,9.87,14.9424,16.902,10.0572,8.1928,9.9556,27.1248,26.542,13.9528,25.102,4.3,20.5872,13.3892,15.3156,15.0596,25.1296,33.934,23.9392,18.9784,21.7644,5.5132,14.28,17.1264,11.7564,12.0572,37.7344
684,21.6,0.8884,1.0176,0.7064,30.154,18.646,12.258,2.6352,7.4116,5.62,5.32,5.4928,14.042,20.1504,2.3516,5.0836,10.022,17.9296,18.3132,31.6788,10.0716,46.3188,31.3076,26.6468,23.1988,0.9408,1.5272,1.0748,5.7716,7.4812,9.9088,15.0028,17.092,10.1872,8.2336,10.006,27.412,26.81,14.0164,25.24,4.35,20.7436,13.4644,15.3184,14.9596,25.4392,33.9224,24.2784,19.2568,21.8484,5.5528,14.7536,17.7084,11.81,12.3264,38.068
686,23.2708,0.9304,1.0812,0.7992,30.5744,18.8556,12.4836,2.726,7.6084,5.6896,5.388,5.528,14.3044,20.408,2.4376,5.222,10.2456,17.9564,18.214,31.802,10.1164,46.412,31.382,26.7608,23.2712,1.0016,1.6076,1.1376,5.796,7.5204,9.9468,15.0572,17.2764,10.3108,8.2748,10.056,27.6716,27.0432,14.0828,25.3716,4.4,20.8964,13.5344,15.3044,14.8476,25.7476,33.898,24.6196,19.54,21.9336,5.5932,15.1976,18.252,11.8668,12.596,38.3936
688,24.79208333,0.96875,1.14125,0.8875,30.9525,19.03833333,12.68708333,2.807916667,7.7825,5.75375,5.450416667,5.559583333,14.53958333,20.63833333,2.517083333,5.349166667,10.45041667,18.00875,18.11291667,31.90791667,10.16,46.49291667,31.45666667,26.87208333,23.33375,1.057083333,1.680416667,1.195,5.819583333,7.5575,9.983333333,15.105,17.44291667,10.42041667,8.313333333,10.1025,27.8875,27.23416667,14.14791667,25.49208333,4.445,21.03416667,13.5975,15.27833333,14.73583333,26.02666667,33.88416667,24.92625,19.79708333,22.0125,5.6325,15.57541667,18.71208333,11.92125,12.83416667,38.675
690,26.44666667,1.011666667,1.209166667,0.987916667,31.37625,19.24791667,12.91708333,2.902083333,7.977083333,5.825416667,5.518333333,5.5975,14.8025,20.895,2.606666667,5.495,10.68208333,18.09458333,18.01583333,32.03625,10.21333333,46.59291667,31.54625,27.00125,23.40416667,1.119166667,1.76125,1.2575,5.846666667,7.59875,10.02458333,15.1625,17.63166667,10.54333333,8.35875,10.15625,28.11375,27.44041667,14.22541667,25.63291667,4.494583333,21.18666667,13.67291667,15.23,14.59458333,26.34958333,33.89916667,25.27,20.08625,22.10083333,5.674583333,15.96583333,19.18541667,11.98416667,13.06958333,38.94833333
692,28.01916667,1.055416667,1.275416667,1.085416667,31.80125,19.46291667,13.14791667,2.999583333,8.17625,5.89625,5.583333333,5.635416667,15.07125,21.15666667,2.701666667,5.643333333,10.91833333,18.17375,17.94083333,32.17916667,10.26708333,46.70125,31.63916667,27.13,23.47833333,1.179583333,1.839166667,1.318333333,5.87375,7.64,10.06625,15.2225,17.8225,10.66541667,8.404583333,10.21166667,28.3275,27.6375,14.305,25.77208333,4.541666667,21.33708333,13.74958333,15.16208333,14.43708333,26.68708333,33.93541667,25.61375,20.38,22.18833333,5.714166667,16.32416667,19.61958333,12.04625,13.27125,39.1775
694,29.48875,1.100833333,1.33875,1.18,32.23583333,19.70208333,13.38791667,3.099583333,8.38625,5.96625,5.646666667,5.670833333,15.35083333,21.42291667,2.799583333,5.795833333,11.15625,18.22416667,17.88666667,32.34208333,10.31916667,46.82625,31.72583333,27.26833333,23.56833333,1.237083333,1.915,1.375833333,5.902916667,7.684583333,10.11166667,15.28791667,18.015,10.79125,8.450833333,10.26625,28.53333333,27.82833333,14.38208333,25.91166667,4.587083333,21.48791667,13.83041667,15.07875,14.265,27.04416667,34.00041667,25.96375,20.68583333,22.27833333,5.752083333,16.65833333,20.01958333,12.10458333,13.40916667,39.3325
696,30.81916667,1.148333333,1.3975,1.270416667,32.67291667,19.94833333,13.63166667,3.20125,8.6,6.03375,5.708333333,5.704583333,15.6325,21.68833333,2.90125,5.9525,11.39541667,18.22583333,17.82958333,32.51541667,10.37041667,46.96083333,31.81041667,27.41,23.66541667,1.294166667,1.987083333,1.43125,5.935,7.73,10.15791667,15.35208333,18.20541667,10.91833333,8.496666667,10.3225,28.72916667,28.0075,14.45625,26.0525,4.632916667,21.63791667,13.9125,14.98416667,14.08875,27.39666667,34.06625,26.31541667,20.99583333,22.36958333,5.7925,16.97041667,20.38541667,12.16291667,13.51791667,39.45916667
698,31.8628,1.1908,1.4468,1.3476,33.0548,20.1472,13.8452,3.2932,8.7868,6.0944,5.7632,5.7356,15.8748,21.918,2.99,6.0936,11.6112,18.1772,17.744,32.6572,10.4156,47.0676,31.8912,27.5268,23.7412,1.3432,2.0468,1.4788,5.9628,7.7672,10.1952,15.3996,18.3692,11.0252,8.5384,10.3732,28.8908,28.1444,14.5212,26.17,4.6744,21.7672,13.978,14.8848,13.9328,27.6804,34.086,26.6264,21.2676,22.45,5.8284,17.222,20.6772,12.2184,13.64,39.6012
700,32.882,1.2384,1.4988,1.4288,33.4656,20.3496,14.0764,3.3932,8.9904,6.1604,5.8236,5.7672,16.1352,22.1656,3.0864,6.2464,11.8492,18.1036,17.618,32.7956,10.4632,47.1732,31.9804,27.6432,23.8132,1.3932,2.108,1.5276,5.9888,7.8052,10.23,15.4444,18.544,11.138,8.582,10.4272,29.0484,28.2724,14.588,26.2908,4.718,21.9056,14.044,14.7592,13.7608,27.952,34.0776,26.9628,21.5572,22.534,5.8656,17.4744,20.9624,12.2764,13.7856,39.7668
